dataset,model,K,seed,fin_test_acc_WA,fin_test_hinge_WA,fin_sparsity_WA,L1_WA,fin_test_acc_WA_VZ,fin_test_hinge_WA_VZ,fin_sparsity_WA_VZ,L1_WA_VZ,fin_test_acc_SA,fin_test_hinge_SA,fin_sparsity_SA,L1_SA,fin_test_acc_SA_VZ,fin_test_hinge_SA_VZ,fin_sparsity_SA_VZ,L1_SA_VZ,L1_inst
newsgroups_binary_sparse,PAC,1,4,0.7260647979614124,0.6167665310354681,0.5030108627204031,0.14330513432111383,0.7260647979614124,0.6167665310354681,0.5030108627204031,0.14330513432111383,0.7260647979614124,0.6167665310354681,0.5030108627204031,0.14330513432111383,0.7260647979614124,0.6167665310354681,0.5030108627204031,0.14330513432111383,0.03465290946070523
newsgroups_binary_sparse,PAC,4,0,0.8369129959956316,0.5043861507973322,0.2571532588161209,0.06555138396115524,0.8369129959956316,0.5044167084670381,0.354228982997481,0.0655595339646869,0.8323625773571168,0.5124225034322325,0.2571532588161209,0.06874890201341309,0.8323625773571168,0.5124448653380499,0.354228982997481,0.06873531867419362,0.03913993918286252
newsgroups_binary_sparse,PAC,4,1,0.8170731707317073,0.5244589335173899,0.2822831391687658,0.11302787120096643,0.8170731707317073,0.5244701766867685,0.3269245906801007,0.11303421009260217,0.8170731707317073,0.5244589335173899,0.2822831391687658,0.11069334796711747,0.8170731707317073,0.5244701766867685,0.3269245906801007,0.11069968685875321,0.03282006422202783
newsgroups_binary_sparse,PAC,4,2,0.7925009100837277,0.5431990592105834,0.3421953715365239,0.060999154210744616,0.7925009100837277,0.5432283712213146,0.4091723079345087,0.061089709805540925,0.7925009100837277,0.5431990592105834,0.3421953715365239,0.054736329274631595,0.7925009100837277,0.5432283712213146,0.4091723079345087,0.056514841156431184,0.03165280260510336
newsgroups_binary_sparse,PAC,4,3,0.8214415726246814,0.5259360822120528,0.3247992758186397,0.10078566034045282,0.8214415726246814,0.5259374013512553,0.3432875472292191,0.10082550480216321,0.8214415726246814,0.5259360822120528,0.3247992758186397,0.10012279338654381,0.8214415726246814,0.5259374013512553,0.3432875472292191,0.10012279338654381,0.0329903087402449
newsgroups_binary_sparse,PAC,4,4,0.8627593738623953,0.5308795420530501,0.2309705604534004,0.02075262565947113,0.8627593738623953,0.5308932314109025,0.2870159005037783,0.020784320117649843,0.8627593738623953,0.53087954205305,0.2309705604534004,0.021817559454275784,0.8627593738623953,0.5308932314109025,0.2870159005037783,0.021860120583830054,0.03465290946070523
newsgroups_binary_sparse,PAC,64,0,0.8545686203130688,0.5125578432929128,0.241744726070529,0.03030986313427401,0.8545686203130688,0.5125885565815077,0.3957710170025189,0.03179769155677744,0.8547506370586094,0.5137601646867577,0.241744726070529,0.03604474895272453,0.8547506370586094,0.5137909109924099,0.3957710170025189,0.03703814382764009,0.03913993918286252
newsgroups_binary_sparse,PAC,64,1,0.8487440844557699,0.5211480816455665,0.2078479219143576,0.040674856514660046,0.8487440844557699,0.5211744196328207,0.2939330132241813,0.04153332355332911,0.8503822351656353,0.5208599357700453,0.2078479219143576,0.035158209679668644,0.8505642519111758,0.5208872108050964,0.2939330132241813,0.03577036550049172,0.03282006422202783
newsgroups_binary_sparse,PAC,64,2,0.8562067710229341,0.5237126097871341,0.3040676164987406,0.02528493317902661,0.8562067710229341,0.5237359628957609,0.3814349811083123,0.027394878537780706,0.8578449217327995,0.5249566548305908,0.3040676164987406,0.04118468451336329,0.8578449217327995,0.5249800988449183,0.3814349811083123,0.04156954579124762,0.03165280260510336
newsgroups_binary_sparse,PAC,64,3,0.8582089552238806,0.5227321228442625,0.2424531643576826,0.045059558414697554,0.85802693847834,0.5227524561327036,0.3489845717884131,0.045824753190726396,0.8593010556971241,0.52312754015869,0.2424531643576826,0.030669368845615403,0.8593010556971241,0.5231475246798323,0.3489845717884131,0.03201140276049676,0.0329903087402449
newsgroups_binary_sparse,PAC,64,4,0.858937022206043,0.5077305228523192,0.2214656801007556,0.019787303018942447,0.858937022206043,0.5077484977399924,0.2870159005037783,0.02166180383122613,0.8578449217327995,0.5071846068223429,0.2214656801007556,0.02860379572831151,0.8578449217327995,0.5072024627111054,0.2870159005037783,0.02970857398482653,0.03465290946070523
pcmac_binary_sparse,PAC,16,0,0.9090909090909092,0.2873792366539686,0.0617021276595745,0.01043516370588105,0.9090909090909092,0.2875532583278681,0.0811550151975684,0.014832893812197306,0.9056603773584906,0.2879034889776461,0.0617021276595745,0.01809718832410215,0.9056603773584906,0.2880944497891978,0.0811550151975684,0.022200225175871443,0.01931374252877039
