dataset,model,seed,fin_test_acc_inst,fin_test_hinge_inst,fin_sparsity_inst,L1_inst
dorothea_binary_sparse,FSOL,4,0.9014492753623188,56.492753623188406,0.999980000199998,0.048640853702502
kdd2010-a_binary_sparse,FSOL,0,0.838139998362872,2.459414441952054,0.9985985439557764,0.036824980593484144
kdd2010-a_binary_sparse,FSOL,1,0.8391727345681066,2.50649204713059,0.998606359226132,0.04058403750914229
kdd2010-a_binary_sparse,FSOL,2,0.8419341732522444,2.349893698635387,0.998581083256817,0.0355519284772601
kdd2010-a_binary_sparse,FSOL,3,0.8392418826672627,2.49644947765227,0.9985899867293742,0.03880667752956622
kdd2010-a_binary_sparse,FSOL,4,0.8557036155485295,2.502636620900592,0.9986000773316056,0.03395205698691499
mnist8-4+9_binary_sparse,FSOL,0,0.8898721771761711,263.35559278135065,0.8012738853503185,0.024625196656268368
mnist8-4+9_binary_sparse,FSOL,1,0.9213671848823964,165.73988487004206,0.8114649681528663,0.023627892251534676
mnist8-4+9_binary_sparse,FSOL,2,0.9258338638343496,154.02696742750172,0.7961783439490446,0.027175779282239288
mnist8-4+9_binary_sparse,FSOL,3,0.9255532567178182,167.83329612595074,0.7961783439490446,0.024383908291418382
mnist8-4+9_binary_sparse,FSOL,4,0.8836674093680895,336.35963648655684,0.7949044585987262,0.029128360575998255
news20_binary_sparse,FSOL,0,0.9250041757140472,1.995222691073516,0.963813983553622,0.06924938351650249
news20_binary_sparse,FSOL,1,0.9181560046767996,2.405208443797763,0.9613670977986885,0.08333902437218241
news20_binary_sparse,FSOL,2,0.916485719057959,2.790000590909061,0.9632310403249134,0.05762073984602108
news20_binary_sparse,FSOL,3,0.9303490896943376,2.2267268737369585,0.9606343602972864,0.07022028845750357
news20_binary_sparse,FSOL,4,0.9285117755136127,2.139481874866691,0.9616386460368715,0.07382991555595414
newsgroups_binary_sparse,FSOL,0,0.8127047688387332,15.442952004391485,0.6087255982367759,0.07541651045826565
newsgroups_binary_sparse,FSOL,1,0.8383691299599563,11.443434243334146,0.6108607525188917,0.060184153857577784
newsgroups_binary_sparse,FSOL,2,0.8028758645795413,12.926851620709796,0.6515959540302267,0.06682006784425161
newsgroups_binary_sparse,FSOL,3,0.8751365125591555,7.307954675703119,0.6147473236775819,0.07522996593298527
newsgroups_binary_sparse,FSOL,4,0.8724062613760466,7.357974306198838,0.5504171914357683,0.07350307074021956
pcmac_binary_sparse,FSOL,0,0.8353344768439108,6.119210977701544,0.2465045592705167,0.02653750538381907
pcmac_binary_sparse,FSOL,1,0.8370497427101201,4.259005145797599,0.2534954407294832,0.044868937064099564
pcmac_binary_sparse,FSOL,2,0.8799313893653516,3.227272727272727,0.3072948328267477,0.022774499210373198
pcmac_binary_sparse,FSOL,3,0.8507718696397941,2.513722126929674,0.3246200607902735,0.030134274336751275
pcmac_binary_sparse,FSOL,4,0.8164665523156089,12.804459691252143,0.2191489361702128,0.05054367127345267
rcv1_binary_sparse,FSOL,0,0.9726651154123644,2.638864141138366,0.4730825412282744,0.011734150792862373
rcv1_binary_sparse,FSOL,1,0.943552818297793,5.75411845361938,0.4804708173677414,0.012033001034779651
rcv1_binary_sparse,FSOL,2,0.9718767469528364,2.7462323540409987,0.4718970298706523,0.014888147595126766
rcv1_binary_sparse,FSOL,3,0.9723641020005448,2.699352293448741,0.4751360162584415,0.013865134628919987
rcv1_binary_sparse,FSOL,4,0.9728610130295804,2.6544441812403736,0.4734635984503673,0.0119602614754202
real-sim_binary_sparse,FSOL,0,0.9614976224551036,0.600126261243105,0.2495825182499165,0.029020908108917526
real-sim_binary_sparse,FSOL,1,0.9628826000646324,0.5790012501468873,0.2310701846462139,0.02566641424703269
real-sim_binary_sparse,FSOL,2,0.9609897973316098,0.5585336260365442,0.2440001908488001,0.020665335893819324
real-sim_binary_sparse,FSOL,3,0.9393841466229628,1.197802211655055,0.2282074526456414,0.02813364965027594
real-sim_binary_sparse,FSOL,4,0.9644984072757492,0.5664682993981304,0.2399446538479889,0.018982232092388827
sst2_binary_sparse,FSOL,0,0.8165528165528165,0.4151940401940402,0.4898241023404565,0.017975906035607527
sst2_binary_sparse,FSOL,1,0.8147213147213147,0.4326675576675576,0.4930949265881669,0.017783323753473003
sst2_binary_sparse,FSOL,2,0.820958320958321,0.4142659142659142,0.4910597470562582,0.01948159410845978
sst2_binary_sparse,FSOL,3,0.8322443322443323,0.3978690228690228,0.4898967873237388,0.015700627640926154
sst2_binary_sparse,FSOL,4,0.8165528165528165,0.4262696762696762,0.4882250327082424,0.016591628531927038
url_binary_sparse,FSOL,0,0.954512762941354,3.52516444227792,0.9999848389306556,0.015430312556443388
url_binary_sparse,FSOL,1,0.964402320964778,5.537464388317337,0.9999845295210772,0.018835983858687448
url_binary_sparse,FSOL,2,0.9427799548994976,6.714048041241551,0.9999857671593912,0.015368791297027819
url_binary_sparse,FSOL,3,0.9680387402464252,3.5010547756478543,0.9999845295210772,0.015497329133664679
url_binary_sparse,FSOL,4,0.9688344678015522,4.169041957963008,0.9999857671593912,0.015796470980268252
w8a_binary_sparse,FSOL,0,0.9717564982558794,14.48891639473388,0.9966777408637874,0.02900765666435461
w8a_binary_sparse,FSOL,1,0.9726566895465286,14.02711826263081,0.9966777408637874,0.02419544003847086
w8a_binary_sparse,FSOL,2,0.971137616743558,14.806402610554745,0.9966777408637874,0.02415765215779995
w8a_binary_sparse,FSOL,3,0.9715877123888826,14.575503544503206,0.9966777408637874,0.03867015770702021
w8a_binary_sparse,FSOL,4,0.9701811634972431,15.297063125914256,0.9966777408637874,0.03378740370388409
webspam_binary_sparse,FSOL,0,0.90992466738412,1.4944711496609622,0.7294117647058824,0.0477542004930443
webspam_binary_sparse,FSOL,1,0.907810401805697,1.3255037448113909,0.7254901960784313,0.05154122910272213
webspam_binary_sparse,FSOL,2,0.8700679041151989,1.7361898925883774,0.7294117647058824,0.04701286663889151
webspam_binary_sparse,FSOL,3,0.9203245683374444,1.097268942408273,0.7176470588235294,0.047256076831488136
webspam_binary_sparse,FSOL,4,0.9144865286997268,1.3514800566612069,0.7294117647058824,0.04917380317770959
