model,dataset,log10Cerr,seed,final_test-set-acc,l1-regret,l2-regret
PAC,dexter_binary_sparse,0.0,1,0.9166666666666666,0.03143759873617693,0.05416371293981422
PAC,dexter_binary_sparse,0.0,2,0.9611111111111112,0.06714060031595583,0.10456772888110115
PAC,dexter_binary_sparse,0.0,3,0.9277777777777778,0.04686677198525541,0.0663389346520975
PAC,dexter_binary_sparse,0.0,4,0.9277777777777778,0.04231174302264346,0.06700698638010433
PAC,dexter_binary_sparse,1.0,0,0.95,0.039362822538178036,0.062075308015282625
PAC,dexter_binary_sparse,1.0,1,0.9166666666666666,0.03143759873617693,0.05416371293981422
PAC,dexter_binary_sparse,1.0,2,0.9611111111111112,0.06714060031595583,0.10456772888110115
PAC,dexter_binary_sparse,1.0,3,0.9277777777777778,0.04686677198525541,0.0663389346520975
PAC,dexter_binary_sparse,1.0,4,0.9277777777777778,0.04231174302264346,0.06700698638010433
PAC,dexter_binary_sparse,2.0,0,0.95,0.039362822538178036,0.062075308015282625
PAC,dexter_binary_sparse,2.0,1,0.9166666666666666,0.03143759873617693,0.05416371293981422
PAC,dexter_binary_sparse,2.0,2,0.9611111111111112,0.06714060031595583,0.10456772888110115
PAC,dexter_binary_sparse,2.0,3,0.9277777777777778,0.04686677198525541,0.0663389346520975
PAC,dexter_binary_sparse,2.0,4,0.9277777777777778,0.04231174302264346,0.06700698638010433
PAC,dexter_binary_sparse,3.0,0,0.95,0.039362822538178036,0.062075308015282625
PAC,dexter_binary_sparse,3.0,1,0.9166666666666666,0.03143759873617693,0.05416371293981422
PAC,dexter_binary_sparse,3.0,2,0.9611111111111112,0.06714060031595583,0.10456772888110115
PAC,dexter_binary_sparse,3.0,3,0.9277777777777778,0.04686677198525541,0.0663389346520975
PAC,dexter_binary_sparse,3.0,4,0.9277777777777778,0.04231174302264346,0.06700698638010433
PAC,dorothea_binary_sparse,-1.0,0,0.9217391304347826,0.002755058114507077,0.0033261822261223045
PAC,dorothea_binary_sparse,-1.0,1,0.9188405797101448,0.006715454154111172,0.007829859371504051
PAC,dorothea_binary_sparse,-1.0,2,0.9420289855072465,0.005223131008753055,0.00743756956316112
PAC,dorothea_binary_sparse,-1.0,3,0.9391304347826088,0.0036590615583297305,0.00577913703840405
PAC,dorothea_binary_sparse,-1.0,4,0.9304347826086956,0.0019658487587889185,0.003619599312884709
PAC,dorothea_binary_sparse,-2.0,0,0.9217391304347826,0.0026689625484287395,0.003185665214897658
PAC,dorothea_binary_sparse,-2.0,1,0.9188405797101448,0.006658057110058957,0.00782454558780989
PAC,dorothea_binary_sparse,-2.0,2,0.9420289855072465,0.004606112785191585,0.006611600109934998
PAC,dorothea_binary_sparse,-2.0,3,0.9420289855072465,0.002712010331467914,0.0045920774035352226
PAC,dorothea_binary_sparse,-2.0,4,0.9304347826086956,0.0021523891519586716,0.003944037370433116
PAC,dorothea_binary_sparse,-3.0,0,0.9217391304347826,0.001808006887645262,0.002447295807757514
PAC,dorothea_binary_sparse,-3.0,1,0.9159420289855073,0.006241928540680294,0.007044098853831271
PAC,dorothea_binary_sparse,-3.0,2,0.9217391304347826,0.0011909886640838012,0.00228013324466506
PAC,dorothea_binary_sparse,-3.0,3,0.927536231884058,0.0009183527048356916,0.0018241065957320245
PAC,dorothea_binary_sparse,-3.0,4,0.9130434782608696,0.0024250251112067534,0.004134529844244318
PAC,dorothea_binary_sparse,0.0,0,0.9217391304347826,0.0027837566365331904,0.0033136541882877696
PAC,dorothea_binary_sparse,0.0,1,0.9188405797101448,0.006500215238915313,0.007704016544302165
PAC,dorothea_binary_sparse,0.0,2,0.9420289855072465,0.005108336920648593,0.007279305296252213
PAC,dorothea_binary_sparse,0.0,3,0.9391304347826088,0.003529918209212211,0.0056148715183715414
PAC,dorothea_binary_sparse,0.0,4,0.9304347826086956,0.0018654039316975104,0.003472995488501251
PAC,dorothea_binary_sparse,1.0,0,0.9217391304347826,0.002769407375520133,0.0033073723737507485
PAC,dorothea_binary_sparse,1.0,1,0.9188405797101448,0.006500215238915313,0.007704016544302165
PAC,dorothea_binary_sparse,1.0,2,0.9420289855072465,0.005108336920648593,0.007279305296252213
PAC,dorothea_binary_sparse,1.0,3,0.9391304347826088,0.0035155689481991526,0.0055814383110138555
PAC,dorothea_binary_sparse,1.0,4,0.9304347826086956,0.00186540393169751,0.0034368801692386012
PAC,dorothea_binary_sparse,2.0,0,0.9217391304347826,0.002769407375520133,0.0033073723737507485
PAC,dorothea_binary_sparse,2.0,1,0.9188405797101448,0.006485865977902255,0.007695914158315388
PAC,dorothea_binary_sparse,2.0,2,0.9420289855072465,0.005108336920648593,0.007279305296252213
PAC,dorothea_binary_sparse,2.0,3,0.9391304347826088,0.0035155689481991526,0.0055814383110138555
PAC,dorothea_binary_sparse,2.0,4,0.9304347826086956,0.00186540393169751,0.0034368801692386012
PAC,dorothea_binary_sparse,3.0,0,0.9217391304347826,0.002769407375520133,0.0033073723737507485
PAC,dorothea_binary_sparse,3.0,1,0.9188405797101448,0.006485865977902255,0.007695914158315388
PAC,dorothea_binary_sparse,3.0,2,0.9420289855072465,0.005108336920648593,0.007279305296252213
PAC,dorothea_binary_sparse,3.0,3,0.9391304347826088,0.0035155689481991526,0.0055814383110138555
PAC,dorothea_binary_sparse,3.0,4,0.9304347826086956,0.00186540393169751,0.0034368801692386012
PAC,kdd2010-a_binary_sparse,-1.0,0,0.8523131160488253,0.017396919751756515,0.020908161833658012
